Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
TCS,3.3,1.2L,10.2L,11.4k,4.5k,10.8k,93
Accenture,3.7,7.1L,9.4k,35.4k,6.8k,49,N/A
Wipro,3.6,4.9L,6.9k,310,4.8k,114,N/A
Cognizant,3.7,6.1L,6.5k,711,5.6k,102,N/A
Capgemini,3.6,54k,4.9L,5.6k,2.2k,3.8k,42
HDFC Bank,3.8,53.1k,1.5L,3.1k,293,3.4k,92
Infosys,3.5,N/A,N/A,N/A,N/A,N/A,N/A
HCLTech,3.4,N/A,N/A,N/A,N/A,N/A,N/A
ICICI Bank,3.9,1.5L,3k,8,3.8k,73,N/A
Tech Mahindra,3.3,2.9L,4.6k,585,3.5k,79,N/A
Genpact,3.6,42.9k,2.4L,3.9k,546,3.6k,67
TP,3.9,N/A,N/A,N/A,N/A,N/A,N/A
Jio,4.4,62k,4.5k,--,2.6k,93,N/A
Axis Bank,3.6,1L,2k,239,2.2k,121,N/A
Concentrix Corporation,3.6,32.6k,1.3L,2k,14,3.2k,67
Amazon,3.9,31.8k,1.6L,6k,68,3.7k,95
Reliance Retail,3.9,N/A,N/A,N/A,N/A,N/A,N/A
iEnergizer,4.6,N/A,N/A,N/A,N/A,N/A,N/A
LTIMindtree,3.6,2L,3.5k,514,823,34,N/A
IBM,3.9,26k,2.2L,2.6k,1.9k,2.6k,23
